##########################
# QE information for GMOS instruments

# Spectroscopy: EEV and Hamamatsu CCDs only
# Imaging: Hamamatsu CCDs only

##########################
# Factors for GMOS-S Hamamatsu detectors derived by German Gimeno in Oct 2014.
# Factors for GMOS-N Hamamatsu derived by Julia Scharwaechter in July 2017.

# Factors for both GMOS-N and GMOS-S EEV detectors taken from Bryan Miller's
# python QE scripts Documentation about how they were determined is required. 

# The CCDNAME stored in this file has any spaces (" ") replaced with underscores ("_") which is handled
# within the GQECORR code. This is done so the information can easily be parsed and verified.

##########################
# Spectroscopy

# Column information:
# CCDNAME | CCD# | coefficient_order | VALUE | INSTRUMENT | DETTYPE | DETECTOR | MODE | CORRECTION

####
# GMOS-N

# EEV Detectors.
EEV_9273-16-03 | CCD1 | 0 |  9.883090E-1  | GMOS-N | SDSU II CCD | GMOS + Red1             | SPEC | RELATIVE
BI12-09-4k-2 | CCD2 | 3 |  1                  | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI12-09-4k-2 | CCD2 | 4 |  1                  | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI12-09-4k-2 | CCD2 | 5 |  1                  | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI12-09-4k-2 | CCD2 | 6 |  1                  | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI12-09-4k-2 | CCD2 | 7 |  1                  | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI12-09-4k-2 | CCD2 | 8 |  1                  | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI12-09-4k-2 | CCD2 | 9 |  1                  | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-18-4k-2 | CCD3 | 0 |  3.48333720e+03     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-18-4k-2 | CCD3 | 1 | -5.27904605e+00     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-18-4k-2 | CCD3 | 2 |  3.48210500e-03     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-18-4k-2 | CCD3 | 3 | -1.31286828e-06     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-18-4k-2 | CCD3 | 4 |  3.12154994e-10     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-18-4k-2 | CCD3 | 5 | -4.85949692e-14     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-18-4k-2 | CCD3 | 6 |  4.95886638e-18     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-18-4k-2 | CCD3 | 7 | -3.20198283e-22     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-18-4k-2 | CCD3 | 8 |  1.18833302e-26     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE 
BI13-18-4k-2 | CCD3 | 9 | -1.93303639e-31     | GMOS-N | S10892-N | GMOS-N + Hamamatsu | SPEC | RELATIVE



####
# GMOS-S

# EEV Detectors. Before 2006-08-31
EEV_2037-06-03 | CCD1 | 0 |  2.8197       | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | old
EEV_2037-06-03 | CCD1 | 1 | -8.101E-4     | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | old
EEV_2037-06-03 | CCD1 | 2 |  1.147E-7     | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | old
EEV_2037-06-03 | CCD1 | 3 | -5.270E-12    | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | old
EEV_8194-19-04 | CCD2 | 0 |  1            | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | old
EEV_8194-19-04 | CCD2 | 1 |  1            | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | old
EEV_8194-19-04 | CCD2 | 2 |  1            | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | old
EEV_8194-19-04 | CCD2 | 3 |  1            | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | old
EEV_8261-07-04 | CCD3 | 0 |  1.3771       | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | old
EEV_8261-07-04 | CCD3 | 1 | -1.863E-4     | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | old
EEV_8261-07-04 | CCD3 | 2 |  2.559E-8     | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | old
EEV_8261-07-04 | CCD3 | 3 | -1.0289E-12   | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | old

# EEV Detectors. On or after 2006-08-31
EEV_2037-06-03 | CCD1 | 0 |  2.225037E0   | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | newer
EEV_2037-06-03 | CCD1 | 1 | -4.441856E-4  | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | newer
EEV_2037-06-03 | CCD1 | 2 |  5.216792E-8  | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | newer
EEV_2037-06-03 | CCD1 | 3 | -1.977506E-12 | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | newer
EEV_8194-19-04 | CCD2 | 0 |  1            | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | newer
EEV_8194-19-04 | CCD2 | 1 |  1            | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | newer
EEV_8194-19-04 | CCD2 | 2 |  1            | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | newer
EEV_8194-19-04 | CCD2 | 3 |  1            | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | newer
EEV_8261-07-04 | CCD3 | 0 |  8.694583E-1  | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | newer
EEV_8261-07-04 | CCD3 | 1 |  1.021462E-4  | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | newer
EEV_8261-07-04 | CCD3 | 2 |  -2.396927E-8 | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | newer
EEV_8261-07-04 | CCD3 | 3 |  1.670948E-12 | GMOS-S | SDSU II CCD | GMOS + Blue1 + new CCD1 | SPEC | RELATIVE | newer

# Hamamatsu CCDs. # refined for blue in CCD1 and CCD3, GG 2014oct24
BI5-36-4k-2  | CCD1 | 0 | -6.00810046e+02     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI5-36-4k-2  | CCD1 | 1 |  6.74834788e-01     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI5-36-4k-2  | CCD1 | 2 | -3.26251680e-04     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI5-36-4k-2  | CCD1 | 3 |  8.87677395e-08     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI5-36-4k-2  | CCD1 | 4 | -1.48699188e-11     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI5-36-4k-2  | CCD1 | 5 |  1.57120033e-15     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE
BI5-36-4k-2  | CCD1 | 6 | -1.02326999e-19     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE
BI5-36-4k-2  | CCD1 | 7 |  3.75794380e-24     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE
BI5-36-4k-2  | CCD1 | 8 | -5.96238257e-29     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE
BI5-36-4k-2  | CCD1 | 9 |  0.0                | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE
BI11-33-4k-1 | CCD2 | 0 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 1 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 2 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 3 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 4 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 5 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 6 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 7 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 8 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 9 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 0 |  7.44793105e+02     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 1 | -1.22941630e+00     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 2 |  8.83657074e-04     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 3 | -3.62949805e-07     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 4 |  9.40246850e-11     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 5 | -1.59549327e-14     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 6 |  1.77557909e-18     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 7 | -1.25086490e-22     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 8 |  5.06582071e-27     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 9 | -8.99166534e-32     | GMOS-S | S10892 | GMOS + Hamamatsu | SPEC | RELATIVE

# Hamamatsu CCDs with new video boards - GG 20150907
BI5-36-4k-2  | CCD1 | 0 | -6.00810046e+02     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI5-36-4k-2  | CCD1 | 1 |  6.74834788e-01     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI5-36-4k-2  | CCD1 | 2 | -3.26251680e-04     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI5-36-4k-2  | CCD1 | 3 |  8.87677395e-08     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI5-36-4k-2  | CCD1 | 4 | -1.48699188e-11     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI5-36-4k-2  | CCD1 | 5 |  1.57120033e-15     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE
BI5-36-4k-2  | CCD1 | 6 | -1.02326999e-19     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE
BI5-36-4k-2  | CCD1 | 7 |  3.75794380e-24     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE
BI5-36-4k-2  | CCD1 | 8 | -5.96238257e-29     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE
BI5-36-4k-2  | CCD1 | 9 |  0.0                | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE
BI11-33-4k-1 | CCD2 | 0 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 1 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 2 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 3 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 4 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 5 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 6 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 7 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 8 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI11-33-4k-1 | CCD2 | 9 |  1                  | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 0 |  7.44793105e+02     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 1 | -1.22941630e+00     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 2 |  8.83657074e-04     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 3 | -3.62949805e-07     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 4 |  9.40246850e-11     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 5 | -1.59549327e-14     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 6 |  1.77557909e-18     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 7 | -1.25086490e-22     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 8 |  5.06582071e-27     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE 
BI12-34-4k-1 | CCD3 | 9 | -8.99166534e-32     | GMOS-S | S10892 | GMOS + Hamamatsu_new | SPEC | RELATIVE


##########################
# Imaging

# NOTE: FILTER values do not neccessarily have to be in that order; both two FILTER values have been
#       allowed in case ther is a need in the future.

# Column information:
# CCDNAME | CCD# | VALUE | INSTRUMENT | DETTYPE | DETECTOR | FILTER1 | FILTER2 | MODE | CORRECTION

# GMOS-N Hamamatsu detectors - JS 20170707
BI13-20-4k-1 | CCD1 | 1.067 | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | g_G0301 | IMAGE | RELATIVE
BI12-09-4k-2 | CCD2 | 1.0   | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | g_G0301 | IMAGE | RELATIVE
BI13-18-4k-2 | CCD3 | 1.051 | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | g_G0301 | IMAGE | RELATIVE

BI13-20-4k-1 | CCD1 | 0.927 | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | r_G0303 | IMAGE | RELATIVE
BI12-09-4k-2 | CCD2 | 1.0   | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | r_G0303 | IMAGE | RELATIVE
BI13-18-4k-2 | CCD3 | 0.920 | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | r_G0303 | IMAGE | RELATIVE

BI13-20-4k-1 | CCD1 | 1.016 | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | i_G0302 | IMAGE | RELATIVE
BI12-09-4k-2 | CCD2 | 1.0   | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | i_G0302 | IMAGE | RELATIVE
BI13-18-4k-2 | CCD3 | 1.020 | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | i_G0302 | IMAGE | RELATIVE

BI13-20-4k-1 | CCD1 | 1.093 | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | z_G0304 | IMAGE | RELATIVE
BI12-09-4k-2 | CCD2 | 1.0   | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | z_G0304 | IMAGE | RELATIVE
BI13-18-4k-2 | CCD3 | 1.090 | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | z_G0304 | IMAGE | RELATIVE

BI13-20-4k-1 | CCD1 | 1.110 | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | Y_G0323 | IMAGE | RELATIVE
BI12-09-4k-2 | CCD2 | 1.0   | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | Y_G0323 | IMAGE | RELATIVE
BI13-18-4k-2 | CCD3 | 1.098 | GMOS-N | S10892-N | GMOS-N + Hamamatsu | open | Y_G0323 | IMAGE | RELATIVE


# GMOS-S Hamamatsu detectors - GG 20141203
BI5-36-4k-2  | CCD1 | 1.149 | GMOS-S | S10892 | GMOS + Hamamatsu | open | u_G0332 | IMAGE | RELATIVE
BI11-33-4k-1 | CCD2 | 1.0   | GMOS-S | S10892 | GMOS + Hamamatsu | open | u_G0332 | IMAGE | RELATIVE
BI12-34-4k-1 | CCD3 | 1.39  | GMOS-S | S10892 | GMOS + Hamamatsu | open | u_G0332 | IMAGE | RELATIVE

BI5-36-4k-2  | CCD1 | 0.78  | GMOS-S | S10892 | GMOS + Hamamatsu | open | g_G0325 | IMAGE | RELATIVE
BI11-33-4k-1 | CCD2 | 1.0   | GMOS-S | S10892 | GMOS + Hamamatsu | open | g_G0325 | IMAGE | RELATIVE
BI12-34-4k-1 | CCD3 | 1.0   | GMOS-S | S10892 | GMOS + Hamamatsu | open | g_G0325 | IMAGE | RELATIVE

BI5-36-4k-2  | CCD1 | 0.90  | GMOS-S | S10892 | GMOS + Hamamatsu | open | r_G0326 | IMAGE | RELATIVE
BI11-33-4k-1 | CCD2 | 1.0   | GMOS-S | S10892 | GMOS + Hamamatsu | open | r_G0326 | IMAGE | RELATIVE
BI12-34-4k-1 | CCD3 | 0.94  | GMOS-S | S10892 | GMOS + Hamamatsu | open | r_G0326 | IMAGE | RELATIVE

BI5-36-4k-2  | CCD1 | 0.976 | GMOS-S | S10892 | GMOS + Hamamatsu | open | i_G0327 | IMAGE | RELATIVE
BI11-33-4k-1 | CCD2 | 1.0   | GMOS-S | S10892 | GMOS + Hamamatsu | open | i_G0327 | IMAGE | RELATIVE
BI12-34-4k-1 | CCD3 | 1.027 | GMOS-S | S10892 | GMOS + Hamamatsu | open | i_G0327 | IMAGE | RELATIVE

BI5-36-4k-2  | CCD1 | 1.024 | GMOS-S | S10892 | GMOS + Hamamatsu | open | z_G0328 | IMAGE | RELATIVE
BI11-33-4k-1 | CCD2 | 1.0   | GMOS-S | S10892 | GMOS + Hamamatsu | open | z_G0328 | IMAGE | RELATIVE
BI12-34-4k-1 | CCD3 | 1.085 | GMOS-S | S10892 | GMOS + Hamamatsu | open | z_G0328 | IMAGE | RELATIVE

# GMOS-S Hamamatsu detectors with new video boards - GG 20150907
BI5-36-4k-2  | CCD1 | 1.149 | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | u_G0332 | IMAGE | RELATIVE
BI11-33-4k-1 | CCD2 | 1.0   | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | u_G0332 | IMAGE | RELATIVE
BI12-34-4k-1 | CCD3 | 1.39 | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | u_G0332 | IMAGE | RELATIVE

BI5-36-4k-2  | CCD1 | 0.78 | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | g_G0325 | IMAGE | RELATIVE
BI11-33-4k-1 | CCD2 | 1.0   | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | g_G0325 | IMAGE | RELATIVE
BI12-34-4k-1 | CCD3 | 1.0 | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | g_G0325 | IMAGE | RELATIVE

BI5-36-4k-2  | CCD1 | 0.93 | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | r_G0326 | IMAGE | RELATIVE
BI11-33-4k-1 | CCD2 | 1.0   | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | r_G0326 | IMAGE | RELATIVE
BI12-34-4k-1 | CCD3 | 0.97 | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | r_G0326 | IMAGE | RELATIVE

BI5-36-4k-2  | CCD1 | 0.976 | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | i_G0327 | IMAGE | RELATIVE
BI11-33-4k-1 | CCD2 | 1.0   | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | i_G0327 | IMAGE | RELATIVE
BI12-34-4k-1 | CCD3 | 1.027 | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | i_G0327 | IMAGE | RELATIVE

BI5-36-4k-2  | CCD1 | 1.024 | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | z_G0328 | IMAGE | RELATIVE
BI11-33-4k-1 | CCD2 | 1.0   | GMOS-S | S10892 | GMOS + Hamamatsu_new | open | z_G0328 | IMAGE | RELATIVE
BI12-34-4k-1 | CCD3 | 1.12 | GMOS-S | S10892 | GMOS + Hamamatsu_new` | open | z_G0328 | IMAGE | RELATIVE
